activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2020,2549005SIVTHG14U2905,28740,NY,36111,36111951800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,32,1,2,2,2,175000.0,80.0,5.125,1.698,2,5640.16,NA,2261.6,681.6,,360,NA,NA,2,2,2,2,215000,1,1,3,5,1,NA,151,20%-<30%,3,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,45-54,9999,No,NA,1,1,1,,,,,10,,,,1740,45.69,83700,71.34,294,525,57
2020,2549005SIVTHG14U2905,35614,NY,36087,36087011301,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,32,1,2,2,2,275000.0,80.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,335000,1,3,3,5,1,NA,75,30%-<36%,3,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,45-54,9999,No,NA,2,1,6,,,,,9,,,,7561,81.55,81800,86.3,925,1649,33
2020,2549005SIVTHG14U2905,35614,NY,36119,36119008200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,2,0,2,1,1,1,2,2,2,515000.0,85.0,4.5,1.06,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,615000,1,1,3,5,2,NA,115,44,3,9,1,,,,,1,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,<25,No,No,1,1,1,,,,,10,,,,6710,37.76,81800,157.51,1848,2062,64
2020,2549005SIVTHG14U2905,35614,NY,36081,36081126500,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,3,0,2,1,1,1,2,2,2,875000.0,70.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,1255000,1,1,3,5,1,NA,300,20%-<30%,1,1,2,,,,,2,,,,,1,1,2,,,,,2,,,,,1,1,2,1,1,1,45-54,55-64,No,No,2,1,6,,,,,9,,,,1517,70.67,81800,126.66,282,423,69
2020,2549005SIVTHG14U2905,39100,NY,36027,36027220700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,2,0,2,1,1,1,2,2,2,125000.0,75.0,5.125,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,165000,1,3,3,5,2,NA,90,30%-<36%,3,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,1,,,,,10,,,,2564,69.89,100400,42.78,331,781,45
2020,2549005SIVTHG14U2905,35614,NY,36079,36079010600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,31,1,2,2,2,755000.0,75.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,60,2,2,2,2,1005000,1,1,3,5,1,NA,380,20%-<30%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,2,1,6,,,,,9,,,,3844,9.29,81800,197.64,1070,1529,42
2020,2549005SIVTHG14U2905,35614,NY,36047,36047069000,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,2,0,2,1,1,1,2,2,2,1185000.0,80.0,5.875,1.924,3,NA,NA,NA,NA,NA,360,NA,60,2,2,2,2,1475000,1,1,3,5,2,NA,612,<20%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,6,,,,,10,,,,1801,86.79,81800,117.95,471,655,67
2020,2549005SIVTHG14U2905,35614,NY,36079,36079010600,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,2,0,2,1,31,1,2,2,2,775000.0,77.0,7.115,3.839,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,1005000,1,1,3,5,1,NA,421,20%-<30%,2,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,55-64,9999,No,NA,1,1,6,,,,,10,,,,3844,9.29,81800,197.64,1070,1529,42
2020,2549005SIVTHG14U2905,35614,NY,36081,36081127700,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,1,1,2,2,2,1255000.0,76.094,4.875,1.71,2,29447.46,NA,20413.33,,,360,NA,60,2,2,2,2,1655000,1,1,3,5,1,NA,400,30%-<36%,3,10,2,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,2,5,1,4,25-34,9999,No,NA,2,1,6,,,,,10,,,,3528,24.89,81800,180.66,913,1163,70
2020,2549005SIVTHG14U2905,39100,NY,36071,36071014102,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Black or African American,Joint,1,0,2,1,1,1,2,2,2,255000.0,95.0,4.25,1.3,2,5251.96,NA,1580.0,,565.85,360,NA,NA,2,2,2,2,275000,1,1,3,5,1,NA,79,39,2,1,3,,,,,3,,,,,2,2,3,,,,,3,,,,,2,2,1,2,2,2,35-44,25-34,No,No,1,1,1,,,,,10,,,,6070,45.21,100400,104.22,1330,1458,31
